Chip_ID,Wafer_X_Loc_mm,Wafer_Y_Loc_mm,Radial_Distance_mm,Test Flag,N_Contact_Area_um2,P_Contact_Area_um2,NP_Ratio_Check,Waveguide_Width_Avg_nm,Optical_Confinement_Factor_%,Grating_Coupler_Pitch_nm,DRC_Violations,Overall_Yield_Prediction
AA01,147,28,149.64,TRUE,1295.2,1281.87,Pass,469.5,83.31,633.4,0,High-Risk Edge
AA02,147,24.5,149.03,TRUE,1309.19,1282.2,Pass,476.6,85.46,629,0,High-Risk Edge
AA03,147,21,148.49,TRUE,1336.25,1315.87,Pass,473.6,84.21,629.3,0,High-Risk Edge
AA04,147,17.5,148.04,TRUE,1295.88,1317.47,Pass,476.3,84.11,629.8,1,High-Risk Edge
AA05,147,14,147.67,TRUE,1305.39,1326.34,Pass,482.3,85.49,631.7,0,High-Risk Edge
AA06,147,10.5,147.37,TRUE,1268.07,1312.25,Pass,472.5,86.31,633.1,1,High-Risk Edge
AA07,147,7,147.17,TRUE,1314.17,1324.23,Pass,472.1,85.52,626.1,0,High-Risk Edge
AA08,147,3.5,147.04,TRUE,1263.36,1305.99,Pass,465.3,85.27,631.9,0,High-Risk Edge
AA09,147,0,147,TRUE,1296.5,1264.66,Pass,477.7,85.1,631.3,0,High-Risk Edge
AA10,147,3.5,147.04,TRUE,1312.86,1303.02,Pass,478.4,84.02,630.1,0,High-Risk Edge
AA11,147,7,147.17,TRUE,1328.61,1292.05,Pass,479.8,87.32,631,0,High-Risk Edge
AA12,147,10.5,147.37,TRUE,1295.83,1249.24,Pass,476,85.75,630.1,0,High-Risk Edge
AA13,147,14,147.67,TRUE,1340.96,1274.09,Fail,470.6,84.76,629.6,2,High-Risk Edge
AA14,147,17.5,148.04,TRUE,1344.21,1271.34,Fail,481.7,85.44,631.5,1,High-Risk Edge
BA01,147,21,148.49,TRUE,1299.98,1359.66,Pass,477.4,84.22,630.3,0,High-Risk Edge
BA02,147,24.5,149.03,TRUE,1308.72,1307.91,Pass,469.3,84.73,629.3,0,High-Risk Edge
BA03,147,28,149.64,TRUE,1321.49,1290.71,Pass,475.1,83.86,632.6,0,High-Risk Edge
BA04,143.5,42,149.52,TRUE,1313.17,1325.89,Pass,474.7,85.03,632.2,0,High-Risk Edge
BA05,143.5,38.5,148.57,TRUE,1302.01,1313.51,Pass,473,85.26,626.3,0,High-Risk Edge
BA06,143.5,35,147.71,TRUE,1303.06,1287.48,Pass,482.2,85.19,630,0,High-Risk Edge
BA07,143.5,31.5,146.92,TRUE,1306.04,1322.66,Pass,475.2,87.97,629.7,0,High-Risk Edge
BA08,143.5,28,146.21,TRUE,1262.5,1287.03,Pass,476.4,81.97,632.6,0,High-Risk Edge
BA09,143.5,24.5,145.58,TRUE,1319.26,1313.62,Pass,468.4,86.34,628.9,0,High-Risk Edge
BA10,143.5,21,145.03,TRUE,1310.28,1295.23,Pass,478.6,84.46,632,0,High-Risk Edge
BA11,143.5,17.5,144.56,TRUE,1302.13,1337.85,Pass,476.4,86.51,627.5,0,High-Risk Edge
BA12,143.5,14,144.18,TRUE,1296.76,1338.46,Pass,478.4,86.51,630.1,0,High-Risk Edge
BA13,143.5,10.5,143.88,TRUE,1315.97,1292.6,Pass,464.7,85.09,627.6,0,High-Risk Edge
BA14,143.5,7,143.67,TRUE,1279.8,1312.11,Pass,461.2,86.63,628.8,2,High-Risk Edge
CA01,143.5,3.5,143.54,TRUE,1294.03,1263.47,Pass,474.7,84.76,628.9,0,High-Risk Edge
CA02,143.5,0,143.5,FALSE,1307.26,1288.83,Pass,469.5,84.98,629.7,2,Review
CA03,143.5,3.5,143.54,TRUE,1321.34,1340.35,Pass,471.1,85.26,626.8,1,High-Risk Edge
CA04,143.5,7,143.67,TRUE,1300.94,1297.42,Pass,468.7,84.31,631.3,0,High-Risk Edge
CA05,143.5,10.5,143.88,TRUE,1309.4,1281.59,Pass,478.4,85.69,629.6,0,High-Risk Edge
CA06,143.5,14,144.18,TRUE,1337.52,1259.21,Fail,479.8,84.92,629.4,0,High-Risk Edge
CA07,143.5,17.5,144.56,TRUE,1281.74,1304.82,Pass,477.7,84.95,629.7,1,High-Risk Edge
CA08,143.5,21,145.03,TRUE,1331.88,1312.93,Pass,472.4,84.46,628.1,0,High-Risk Edge
CA09,143.5,24.5,145.58,TRUE,1309.22,1313.42,Pass,475.1,85.09,633.5,0,High-Risk Edge
CA10,143.5,28,146.21,TRUE,1331.39,1300.12,Pass,474.2,85.54,630.4,0,High-Risk Edge
CA11,143.5,31.5,146.92,TRUE,1322.99,1300.77,Pass,469,86.75,628.6,0,High-Risk Edge
CA12,143.5,35,147.71,TRUE,1319.38,1295.07,Pass,468,86.42,630.3,0,High-Risk Edge
CA13,143.5,38.5,148.57,TRUE,1329.34,1308.91,Pass,465.7,86.31,630.8,0,High-Risk Edge
CA14,143.5,42,149.52,TRUE,1291.82,1279.04,Pass,472.6,88.52,629.1,0,High-Risk Edge
DA01,140,52.5,149.52,TRUE,1280.83,1325.21,Pass,467.1,85.38,630.2,0,High-Risk Edge
DA02,140,49,148.33,TRUE,1303.29,1317.06,Pass,473.3,83.92,630.3,1,High-Risk Edge
DA03,140,45.5,147.21,TRUE,1320.83,1310.91,Pass,483.6,83.6,629.7,0,High-Risk Edge
DA04,140,42,146.16,TRUE,1292.03,1310.01,Pass,470.4,85.09,632.3,0,High-Risk Edge
DA05,140,38.5,145.2,TRUE,1277.53,1274.84,Pass,468.9,86.61,631.3,0,High-Risk Edge
DA06,140,35,144.31,TRUE,1296.63,1293.74,Pass,484.1,85.27,631.7,1,High-Risk Edge
DA07,140,31.5,143.5,FALSE,1315.41,1289.4,Pass,463.6,85.37,634,0,Review
DA08,140,28,142.77,FALSE,1324.8,1315.64,Pass,472.5,85.96,630.4,0,Review
DA09,140,24.5,142.13,FALSE,1321.1,1349.21,Pass,468.8,86.22,626.2,0,Review
DA10,140,21,141.57,FALSE,1311.18,1320.99,Pass,472.3,86.8,631.5,0,Review
DA11,140,17.5,141.09,FALSE,1320.79,1309.64,Pass,468.2,85.16,627.9,0,Review
DA12,140,14,140.7,FALSE,1297.36,1283.29,Pass,480.1,84.78,632.7,0,Review
DA13,140,10.5,140.39,FALSE,1303.19,1314.31,Pass,473.2,84.57,629.7,0,Review
DA14,140,7,140.17,FALSE,1316.19,1306.54,Pass,468.7,88.77,631.5,0,Review
EA01,140,3.5,140.04,FALSE,1276.59,1292.94,Pass,466.8,84.79,627.9,0,Review
EA02,140,0,140,FALSE,1342.22,1322.35,Pass,471.8,85.81,631.8,0,Review
EA03,140,3.5,140.04,FALSE,1300.7,1315.33,Pass,467.9,84.63,630.4,0,Review
EA04,140,7,140.17,FALSE,1313.03,1285.33,Pass,473.6,85.86,629.1,0,Review
EA05,140,10.5,140.39,FALSE,1309.93,1314.11,Pass,476.3,85.6,629.9,0,Review
EA06,140,14,140.7,FALSE,1316.5,1307.7,Pass,475,86.15,629,0,Review
EA07,140,17.5,141.09,FALSE,1333.6,1326.93,Pass,466.9,86.53,628.3,0,Review
EA08,140,21,141.57,FALSE,1314.49,1282.25,Pass,474.1,84.99,632.6,0,Review
EA09,140,24.5,142.13,FALSE,1313.21,1263.79,Pass,464.1,86.51,631.5,0,Review
EA10,140,28,142.77,FALSE,1345.45,1317.87,Pass,477.6,84.82,631.7,0,Review
EA11,140,31.5,143.5,FALSE,1311.74,1325.99,Pass,469.3,84.3,627.2,0,Review
EA12,140,35,144.31,TRUE,1357.82,1307.83,Pass,473,88.03,630.8,1,High-Risk Edge
EA13,140,38.5,145.2,TRUE,1288.53,1320.5,Pass,467.4,86.2,628.4,0,High-Risk Edge
EA14,140,42,146.16,TRUE,1357.01,1295.39,Pass,469.8,85.8,629.8,2,High-Risk Edge
FA01,140,45.5,147.21,TRUE,1309.36,1324.07,Pass,481,84.66,625.4,0,High-Risk Edge
FA02,140,49,148.33,TRUE,1308.45,1305.14,Pass,473.8,85.77,631.3,0,High-Risk Edge
FA03,140,52.5,149.52,TRUE,1296.5,1337.67,Pass,472.6,86.85,628.9,0,High-Risk Edge
FA04,136.5,59.5,148.9,TRUE,1307.77,1341.43,Pass,474.6,84.12,627.1,0,High-Risk Edge
FA05,136.5,56,147.54,TRUE,1308.55,1321.34,Pass,477.6,84.84,630.5,0,High-Risk Edge
FA06,136.5,52.5,146.25,TRUE,1322.88,1302.56,Pass,470.9,85.15,633.8,0,High-Risk Edge
FA07,136.5,49,145.03,TRUE,1342.14,1324.25,Pass,475.9,86.51,626.3,0,High-Risk Edge
FA08,136.5,45.5,143.88,TRUE,1336.88,1291.45,Pass,475.2,85.64,632,0,High-Risk Edge
FA09,136.5,42,142.82,FALSE,1331.45,1271.19,Pass,475.1,86.15,630.2,0,Review
FA10,136.5,38.5,141.83,FALSE,1315.44,1287.57,Pass,469.8,85.27,630.1,0,Review
FA11,136.5,35,140.92,FALSE,1284.23,1320.92,Pass,465.4,86.43,631.2,0,Review
FA12,136.5,31.5,140.09,FALSE,1294.17,1267.16,Pass,469.7,85.16,630,0,Review
FA13,136.5,28,139.34,FALSE,1299.55,1351.21,Pass,476.6,85.65,630.7,0,Review
FA14,136.5,24.5,138.68,FALSE,1311.69,1292.6,Pass,477.4,87,632.6,0,Review
GA01,136.5,21,138.11,FALSE,1332.27,1310.87,Pass,467.9,84.69,629.3,0,Review
GA02,136.5,17.5,137.62,FALSE,1310.97,1281.25,Pass,464.5,85.22,628.5,1,Review
GA03,136.5,14,137.22,FALSE,1326.97,1310.26,Pass,470.1,84.97,629.5,0,Review
GA04,136.5,10.5,136.9,FALSE,1348.86,1295.38,Pass,459.9,85.05,630.1,0,Pass
GA05,136.5,7,136.68,FALSE,1298.64,1325.99,Pass,461.8,86.05,627.7,0,Review
GA06,136.5,3.5,136.54,FALSE,1302.1,1309.73,Pass,469.7,84.9,629.6,0,Review
GA07,136.5,0,136.5,FALSE,1317.58,1282.4,Pass,468.8,85.72,632.5,0,Review
GA08,136.5,3.5,136.54,FALSE,1312.08,1325.83,Pass,474.2,84.79,628.6,0,Review
GA09,136.5,7,136.68,FALSE,1290.2,1282.96,Pass,474,85.57,630.3,5,Review
GA10,136.5,10.5,136.9,FALSE,1327.27,1324.89,Pass,473.8,87.18,627.3,0,Review
GA11,136.5,14,137.22,FALSE,1328.05,1280.99,Pass,463.8,85.12,630.5,0,Review
GA12,136.5,17.5,137.62,FALSE,1328.73,1281.39,Pass,469.3,85.6,630.5,0,Review
GA13,136.5,21,138.11,FALSE,1275.38,1292.87,Pass,472.3,85.69,633.8,0,Review
GA14,136.5,24.5,138.68,FALSE,1278.32,1298.17,Pass,471.6,84.81,630.6,0,Review
HA01,136.5,28,139.34,FALSE,1294.12,1319.67,Pass,470.1,85.34,631.1,0,Review

